datetime,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,-2.36,57,12.88,3.35
2020-01-01 01:00:00,3.8,45,12.93,19.78
2020-01-01 02:00:00,8.89,35,3.4,16.19
2020-01-01 03:00:00,-8.66,83,9.31,4.2
2020-01-01 04:00:00,4.99,33,4.98,12.33
2020-01-01 05:00:00,26.18,34,10.52,16.88
2020-01-01 06:00:00,9.97,56,13.09,7.97
2020-01-01 07:00:00,4.43,47,13.23,19.99
2020-01-01 08:00:00,16.4,27,10.37,11.7
2020-01-01 09:00:00,14.11,43,2.3,6.17
2020-01-01 10:00:00,25.41,83,10.86,11.01
2020-01-01 11:00:00,26.74,26,13.28,13.95
2020-01-01 12:00:00,2.51,40,5.3,5.41
2020-01-01 13:00:00,21.26,70,5.66,3.33
2020-01-01 14:00:00,32.14,97,9.4,17.69
2020-01-01 15:00:00,13.55,63,4.65,12.66
2020-01-01 16:00:00,-8.18,47,14.78,14.84
2020-01-01 17:00:00,21.05,31,0.68,19.51
2020-01-01 18:00:00,-6.33,62,11.51,8.05
2020-01-01 19:00:00,0.11,45,3.95,16.85
2020-01-01 20:00:00,-1.41,53,9.96,16.52
2020-01-01 21:00:00,1.98,52,3.04,6.84
2020-01-01 22:00:00,34.14,63,5.88,6.88
2020-01-01 23:00:00,0.06,46,13.92,18.13
2020-01-02 00:00:00,34.64,23,7.52,9.15
2020-01-02 01:00:00,8.26,85,5.24,16.24
2020-01-02 02:00:00,-3.5,90,3.67,15.57
2020-01-02 03:00:00,15.64,33,6.2,3.44
2020-01-02 04:00:00,-4.01,97,9.14,7.85
2020-01-02 05:00:00,34.72,47,1.28,16.43
2020-01-02 06:00:00,-2.46,92,4.77,17.79
2020-01-02 07:00:00,26.57,74,12.81,9.08
2020-01-02 08:00:00,3.98,71,13.97,1.43
2020-01-02 09:00:00,31.21,21,4.68,14.17
2020-01-02 10:00:00,3.61,73,2.19,9.92
2020-01-02 11:00:00,20.45,39,0.36,7.71
2020-01-02 12:00:00,9.64,47,11.34,12.26
2020-01-02 13:00:00,-9.07,39,10.18,8.29
2020-01-02 14:00:00,9.64,91,0.27,6.22
2020-01-02 15:00:00,-7.55,70,8.94,14.43
2020-01-02 16:00:00,-5.46,25,12.92,14.38
2020-01-02 17:00:00,3.85,35,4.23,16.0
2020-01-02 18:00:00,5.34,28,2.98,2.65
2020-01-02 19:00:00,16.06,92,1.95,3.49
2020-01-02 20:00:00,-5.82,68,5.2,4.46
2020-01-02 21:00:00,13.11,90,14.55,14.73
2020-01-02 22:00:00,11.08,28,0.43,14.01
2020-01-02 23:00:00,23.17,82,13.16,4.87
2020-01-03 00:00:00,18.54,41,6.13,14.18
2020-01-03 01:00:00,26.59,90,4.54,2.69
2020-01-03 02:00:00,10.71,60,6.85,13.0
2020-01-03 03:00:00,29.69,63,2.6,16.37
2020-01-03 04:00:00,5.08,84,0.57,12.95
2020-01-03 05:00:00,33.46,83,1.93,1.03
2020-01-03 06:00:00,6.92,94,2.17,2.75
2020-01-03 07:00:00,34.81,25,4.86,9.75
2020-01-03 08:00:00,15.27,92,6.96,14.58
2020-01-03 09:00:00,-2.11,91,0.48,19.67
2020-01-03 10:00:00,2.2,75,4.7,6.9
2020-01-03 11:00:00,8.0,36,4.09,3.37
2020-01-03 12:00:00,8.1,57,1.21,10.12
2020-01-03 13:00:00,-1.65,52,2.44,16.08
2020-01-03 14:00:00,19.8,32,8.02,4.99
2020-01-03 15:00:00,14.41,73,2.21,14.99
2020-01-03 16:00:00,9.98,26,2.34,5.37
2020-01-03 17:00:00,-8.9,41,1.92,0.89
2020-01-03 18:00:00,-8.57,53,7.31,8.63
2020-01-03 19:00:00,34.18,61,3.86,6.46
2020-01-03 20:00:00,26.74,86,0.6,12.07
2020-01-03 21:00:00,10.47,36,11.55,3.17
2020-01-03 22:00:00,10.81,57,8.33,17.76
2020-01-03 23:00:00,0.82,83,6.23,15.22
2020-01-04 00:00:00,-4.12,76,6.0,4.08
2020-01-04 01:00:00,17.45,68,12.05,14.61
2020-01-04 02:00:00,5.33,62,14.73,10.84
2020-01-04 03:00:00,7.43,100,6.63,5.34
2020-01-04 04:00:00,-5.53,95,9.92,14.17
2020-01-04 05:00:00,7.07,65,4.8,9.19
2020-01-04 06:00:00,-0.19,64,6.16,6.86
2020-01-04 07:00:00,28.66,54,8.64,9.33
2020-01-04 08:00:00,7.1,28,12.29,12.05
2020-01-04 09:00:00,-9.6,25,1.79,7.57
2020-01-04 10:00:00,0.91,80,14.39,15.64
2020-01-04 11:00:00,7.91,55,10.26,17.51
2020-01-04 12:00:00,-5.93,55,1.92,13.28
2020-01-04 13:00:00,-4.77,85,13.39,16.03
2020-01-04 14:00:00,22.71,83,1.05,11.83
2020-01-04 15:00:00,-1.82,45,9.28,15.32
2020-01-04 16:00:00,-7.53,49,14.11,4.72
2020-01-04 17:00:00,23.4,68,11.04,12.38
2020-01-04 18:00:00,30.79,37,4.04,13.18
2020-01-04 19:00:00,-1.06,91,2.59,16.7
2020-01-04 20:00:00,-1.44,63,0.84,13.84
2020-01-04 21:00:00,4.45,65,11.78,11.72
2020-01-04 22:00:00,-1.74,56,13.87,10.82
2020-01-04 23:00:00,-6.01,100,1.73,8.01
2020-01-05 00:00:00,26.58,95,2.2,15.94
2020-01-05 01:00:00,-0.6,88,5.88,3.77
2020-01-05 02:00:00,2.32,35,5.99,12.54
2020-01-05 03:00:00,21.88,60,9.43,15.96
2020-01-05 04:00:00,-0.54,86,9.44,2.62
2020-01-05 05:00:00,8.7,94,10.56,12.45
2020-01-05 06:00:00,6.69,76,14.35,3.97
2020-01-05 07:00:00,-7.27,39,13.37,13.12
2020-01-05 08:00:00,-3.46,89,12.9,6.6
2020-01-05 09:00:00,12.59,68,13.34,5.27
2020-01-05 10:00:00,24.08,43,13.07,9.44
2020-01-05 11:00:00,28.58,72,8.05,5.82
2020-01-05 12:00:00,0.22,97,14.65,10.53
2020-01-05 13:00:00,6.19,44,5.63,3.6
2020-01-05 14:00:00,-5.19,86,10.21,16.61
2020-01-05 15:00:00,28.03,27,5.23,6.91
2020-01-05 16:00:00,-8.87,40,14.25,5.48
2020-01-05 17:00:00,-6.49,57,0.49,10.9
2020-01-05 18:00:00,-6.63,56,2.98,18.03
2020-01-05 19:00:00,24.09,60,1.28,4.81
2020-01-05 20:00:00,-8.68,32,11.26,15.81
2020-01-05 21:00:00,29.26,90,6.36,6.7
2020-01-05 22:00:00,31.01,39,4.0,4.56
2020-01-05 23:00:00,33.2,35,9.9,4.87
2020-01-06 00:00:00,1.2,47,8.21,14.57
2020-01-06 01:00:00,-7.34,79,14.03,8.55
2020-01-06 02:00:00,13.35,62,5.04,18.88
2020-01-06 03:00:00,8.23,44,2.79,3.26
2020-01-06 04:00:00,-9.24,63,11.66,2.36
2020-01-06 05:00:00,-7.95,68,9.42,1.95
2020-01-06 06:00:00,0.78,80,11.47,4.96
2020-01-06 07:00:00,33.36,63,2.85,11.55
2020-01-06 08:00:00,34.78,45,1.9,9.11
2020-01-06 09:00:00,31.24,49,2.23,18.94
2020-01-06 10:00:00,-9.95,81,13.25,3.56
2020-01-06 11:00:00,-1.66,91,8.6,10.14
2020-01-06 12:00:00,3.64,97,3.1,7.16
2020-01-06 13:00:00,17.67,20,12.67,9.26
2020-01-06 14:00:00,30.51,99,2.43,15.31
2020-01-06 15:00:00,0.15,40,0.06,17.44
2020-01-06 16:00:00,34.52,77,5.3,7.76
2020-01-06 17:00:00,-1.72,28,3.19,11.05
2020-01-06 18:00:00,33.22,76,10.79,19.35
2020-01-06 19:00:00,-6.96,23,1.36,10.95
2020-01-06 20:00:00,-3.22,72,10.87,6.33
2020-01-06 21:00:00,11.69,95,7.78,10.28
2020-01-06 22:00:00,34.05,94,7.54,8.54
2020-01-06 23:00:00,6.06,65,5.13,3.52
2020-01-07 00:00:00,31.95,49,2.03,19.9
2020-01-07 01:00:00,17.51,22,11.68,18.97
2020-01-07 02:00:00,20.6,45,0.29,7.84
2020-01-07 03:00:00,25.98,81,8.03,14.66
2020-01-07 04:00:00,4.33,74,13.11,0.37
2020-01-07 05:00:00,18.55,51,2.86,6.44
2020-01-07 06:00:00,33.76,86,3.1,5.46
2020-01-07 07:00:00,7.12,89,2.61,13.93
2020-01-07 08:00:00,-9.14,40,7.9,12.51
2020-01-07 09:00:00,33.73,92,5.66,14.81
2020-01-07 10:00:00,33.07,52,1.93,6.34
2020-01-07 11:00:00,-4.19,76,7.29,14.72
2020-01-07 12:00:00,5.94,83,2.63,8.67
2020-01-07 13:00:00,18.22,32,5.62,14.97
2020-01-07 14:00:00,-8.65,67,13.1,12.7
2020-01-07 15:00:00,3.53,46,10.34,13.53
2020-01-07 16:00:00,-6.42,79,6.23,4.38
2020-01-07 17:00:00,26.47,22,9.03,4.59
2020-01-07 18:00:00,9.8,24,2.17,3.42
2020-01-07 19:00:00,24.86,80,9.03,1.23
2020-01-07 20:00:00,29.98,48,11.12,3.98
2020-01-07 21:00:00,32.18,47,11.03,7.91
2020-01-07 22:00:00,-1.04,20,6.31,1.1
2020-01-07 23:00:00,0.17,53,7.71,16.72
2020-01-08 00:00:00,16.56,47,8.78,15.86
2020-01-08 01:00:00,16.08,29,13.88,5.71
2020-01-08 02:00:00,21.52,20,9.28,8.79
2020-01-08 03:00:00,14.12,85,12.83,8.15
2020-01-08 04:00:00,18.31,43,0.99,15.5
2020-01-08 05:00:00,32.3,26,2.78,17.16
2020-01-08 06:00:00,13.0,25,2.87,6.66
2020-01-08 07:00:00,29.1,93,5.82,3.5
2020-01-08 08:00:00,0.6,77,1.25,17.69
2020-01-08 09:00:00,21.69,100,6.85,5.0
2020-01-08 10:00:00,18.77,75,1.61,13.16
2020-01-08 11:00:00,-3.53,25,1.12,6.67
2020-01-08 12:00:00,15.63,42,8.07,2.7
2020-01-08 13:00:00,23.13,85,13.17,8.88
2020-01-08 14:00:00,6.59,61,2.11,17.91
2020-01-08 15:00:00,8.85,39,1.06,18.24
2020-01-08 16:00:00,28.58,93,0.82,12.99
2020-01-08 17:00:00,33.24,75,1.13,3.47
2020-01-08 18:00:00,22.33,73,9.85,4.16
2020-01-08 19:00:00,15.57,37,5.82,4.55
2020-01-08 20:00:00,10.32,63,3.69,2.11
2020-01-08 21:00:00,13.94,66,10.41,3.69
2020-01-08 22:00:00,4.96,55,12.83,8.76
2020-01-08 23:00:00,25.1,24,2.58,7.46
2020-01-09 00:00:00,16.79,37,4.93,18.47
2020-01-09 01:00:00,30.8,99,5.43,16.28
2020-01-09 02:00:00,2.36,44,4.11,2.62
2020-01-09 03:00:00,27.64,81,2.56,6.6
2020-01-09 04:00:00,-0.44,89,1.83,2.59
2020-01-09 05:00:00,28.29,39,13.2,13.21
2020-01-09 06:00:00,30.63,97,12.91,13.42
2020-01-09 07:00:00,9.47,61,11.47,10.36
2020-01-09 08:00:00,33.7,35,9.91,8.02
2020-01-09 09:00:00,3.2,34,3.07,2.93
2020-01-09 10:00:00,31.69,57,1.06,5.31
2020-01-09 11:00:00,27.01,98,1.56,9.4
2020-01-09 12:00:00,-0.08,29,13.74,12.1
2020-01-09 13:00:00,-8.21,68,5.19,8.83
2020-01-09 14:00:00,-6.62,74,5.88,10.81
2020-01-09 15:00:00,16.0,37,14.91,19.43
2020-01-09 16:00:00,7.12,80,10.89,12.47
2020-01-09 17:00:00,4.92,60,1.59,14.83
2020-01-09 18:00:00,11.37,33,12.46,12.29
2020-01-09 19:00:00,18.34,86,10.05,8.9
2020-01-09 20:00:00,-9.59,96,3.39,13.64
2020-01-09 21:00:00,15.26,50,7.26,4.19
2020-01-09 22:00:00,13.59,95,1.26,16.97
2020-01-09 23:00:00,26.94,98,6.09,0.18
2020-01-10 00:00:00,33.91,86,8.28,12.31
2020-01-10 01:00:00,3.74,92,4.07,5.87
2020-01-10 02:00:00,-9.81,60,0.32,10.89
2020-01-10 03:00:00,20.88,49,9.6,2.76
2020-01-10 04:00:00,0.85,31,13.68,5.56
2020-01-10 05:00:00,8.61,33,0.91,7.82
2020-01-10 06:00:00,32.37,71,2.51,8.28
2020-01-10 07:00:00,-5.79,30,12.22,18.82
2020-01-10 08:00:00,22.72,97,5.96,4.31
2020-01-10 09:00:00,11.45,95,11.22,12.61
2020-01-10 10:00:00,5.63,63,6.06,6.36
2020-01-10 11:00:00,20.23,32,10.31,1.3
2020-01-10 12:00:00,-9.43,35,1.68,12.82
2020-01-10 13:00:00,22.96,78,14.48,17.69
2020-01-10 14:00:00,15.05,33,12.26,16.86
2020-01-10 15:00:00,34.7,83,11.65,11.35
2020-01-10 16:00:00,-2.35,78,14.18,1.54
2020-01-10 17:00:00,30.79,66,6.67,5.15
2020-01-10 18:00:00,23.08,36,2.88,3.5
2020-01-10 19:00:00,11.88,65,3.97,13.7
2020-01-10 20:00:00,14.42,64,2.39,1.38
2020-01-10 21:00:00,21.39,78,11.41,5.5
2020-01-10 22:00:00,12.84,99,11.33,19.73
2020-01-10 23:00:00,7.16,42,8.29,10.04
2020-01-11 00:00:00,18.39,30,10.29,11.58
2020-01-11 01:00:00,13.75,27,10.25,1.33
2020-01-11 02:00:00,-8.76,26,9.24,18.23
2020-01-11 03:00:00,0.36,56,9.4,19.68
2020-01-11 04:00:00,-8.81,22,4.99,1.82
2020-01-11 05:00:00,-1.88,63,8.43,8.37
2020-01-11 06:00:00,-8.05,21,1.24,4.03
2020-01-11 07:00:00,12.45,35,2.34,19.37
2020-01-11 08:00:00,11.9,65,9.91,15.28
2020-01-11 09:00:00,30.53,50,13.3,19.15
2020-01-11 10:00:00,23.46,72,14.88,18.59
2020-01-11 11:00:00,26.76,93,14.93,4.42
2020-01-11 12:00:00,29.89,55,2.41,9.17
2020-01-11 13:00:00,19.22,72,1.51,16.83
2020-01-11 14:00:00,-1.2,72,2.42,10.79
2020-01-11 15:00:00,16.59,29,5.25,3.68
2020-01-11 16:00:00,17.77,68,13.09,2.84
2020-01-11 17:00:00,27.05,97,13.69,16.96
2020-01-11 18:00:00,30.93,31,0.7,2.85
2020-01-11 19:00:00,10.34,99,11.42,4.36
2020-01-11 20:00:00,13.81,29,12.19,14.06
2020-01-11 21:00:00,7.14,33,4.87,0.67
2020-01-11 22:00:00,9.14,31,14.93,5.5
2020-01-11 23:00:00,28.9,45,12.87,7.25
2020-01-12 00:00:00,15.28,24,0.01,0.78
2020-01-12 01:00:00,13.99,65,8.72,1.09
2020-01-12 02:00:00,-8.35,96,1.88,4.17
2020-01-12 03:00:00,33.08,87,10.54,19.61
2020-01-12 04:00:00,15.45,65,12.8,10.14
2020-01-12 05:00:00,6.97,79,6.23,11.58
2020-01-12 06:00:00,4.16,83,2.87,2.02
2020-01-12 07:00:00,25.23,78,12.59,17.79
2020-01-12 08:00:00,-6.62,98,5.42,9.85
2020-01-12 09:00:00,4.31,66,7.09,18.38
2020-01-12 10:00:00,2.63,93,7.34,1.18
2020-01-12 11:00:00,26.21,35,6.7,13.11
2020-01-12 12:00:00,-6.94,36,11.05,14.94
2020-01-12 13:00:00,20.22,60,8.58,12.64
2020-01-12 14:00:00,31.2,86,8.13,7.77
2020-01-12 15:00:00,29.0,69,14.24,6.04
2020-01-12 16:00:00,-0.32,36,12.62,4.98
2020-01-12 17:00:00,27.85,75,4.99,13.58
2020-01-12 18:00:00,32.31,92,2.22,4.51
2020-01-12 19:00:00,-1.07,70,3.93,10.13
2020-01-12 20:00:00,-5.42,35,14.73,7.93
2020-01-12 21:00:00,5.65,95,0.5,19.99
2020-01-12 22:00:00,29.09,43,7.89,8.75
2020-01-12 23:00:00,-2.69,74,7.12,7.47
2020-01-13 00:00:00,-9.09,38,7.85,14.42
2020-01-13 01:00:00,4.27,78,13.67,16.17
2020-01-13 02:00:00,-8.19,24,12.27,8.74
2020-01-13 03:00:00,-4.85,66,0.29,4.66
2020-01-13 04:00:00,6.81,76,5.02,11.68
2020-01-13 05:00:00,29.86,55,5.96,19.28
2020-01-13 06:00:00,28.54,28,9.06,0.63
2020-01-13 07:00:00,2.55,35,1.9,2.08
2020-01-13 08:00:00,7.79,31,2.97,18.74
2020-01-13 09:00:00,11.22,65,1.4,12.35
2020-01-13 10:00:00,-3.9,81,13.59,13.65
2020-01-13 11:00:00,2.18,41,2.41,6.81
2020-01-13 12:00:00,30.49,25,10.9,7.68
2020-01-13 13:00:00,-1.45,47,0.48,3.59
2020-01-13 14:00:00,29.2,62,6.15,13.17
2020-01-13 15:00:00,24.41,47,14.05,2.32
2020-01-13 16:00:00,14.57,92,1.17,2.43
2020-01-13 17:00:00,23.09,62,4.52,8.81
2020-01-13 18:00:00,-4.06,47,10.14,2.67
2020-01-13 19:00:00,26.57,75,5.01,13.31
2020-01-13 20:00:00,19.97,22,5.08,11.45
2020-01-13 21:00:00,12.6,31,7.25,8.54
2020-01-13 22:00:00,20.0,88,2.15,16.04
2020-01-13 23:00:00,0.05,100,0.56,13.47
2020-01-14 00:00:00,-9.04,84,9.43,9.39
2020-01-14 01:00:00,-1.16,73,10.38,19.11
2020-01-14 02:00:00,10.05,39,12.79,5.01
2020-01-14 03:00:00,28.96,62,1.42,4.02
2020-01-14 04:00:00,34.69,21,0.96,17.94
2020-01-14 05:00:00,-5.72,30,10.86,19.51
2020-01-14 06:00:00,30.37,31,3.82,1.24
2020-01-14 07:00:00,-8.43,87,8.88,4.53
2020-01-14 08:00:00,25.36,46,1.21,15.93
2020-01-14 09:00:00,15.01,87,0.52,7.12
2020-01-14 10:00:00,29.6,73,7.18,12.63
2020-01-14 11:00:00,10.99,76,4.26,1.14
2020-01-14 12:00:00,25.85,67,14.87,9.31
2020-01-14 13:00:00,-3.54,23,7.89,6.98
2020-01-14 14:00:00,6.79,28,11.94,5.66
2020-01-14 15:00:00,22.68,92,2.27,4.2
2020-01-14 16:00:00,5.78,72,10.01,14.29
2020-01-14 17:00:00,22.2,40,14.26,10.16
2020-01-14 18:00:00,4.89,48,13.24,14.35
2020-01-14 19:00:00,12.05,37,4.86,5.48
2020-01-14 20:00:00,0.02,48,9.05,10.89
2020-01-14 21:00:00,1.35,71,5.41,4.13
2020-01-14 22:00:00,25.5,78,1.89,8.66
2020-01-14 23:00:00,15.5,69,6.69,13.12
2020-01-15 00:00:00,16.71,48,6.98,19.85
2020-01-15 01:00:00,26.73,87,9.43,9.96
2020-01-15 02:00:00,-5.86,42,11.77,9.08
2020-01-15 03:00:00,8.3,80,2.12,12.31
2020-01-15 04:00:00,6.11,86,10.9,18.19
2020-01-15 05:00:00,12.35,75,2.96,4.7
2020-01-15 06:00:00,22.95,76,12.41,5.14
2020-01-15 07:00:00,15.71,25,7.47,4.64
2020-01-15 08:00:00,19.34,26,13.79,1.78
2020-01-15 09:00:00,14.27,39,1.23,11.35
2020-01-15 10:00:00,10.37,77,13.83,16.64
2020-01-15 11:00:00,11.13,32,0.94,11.7
2020-01-15 12:00:00,18.29,22,8.95,17.94
2020-01-15 13:00:00,5.52,75,8.76,7.83
2020-01-15 14:00:00,19.9,73,7.48,15.09
2020-01-15 15:00:00,20.12,96,14.43,18.56
2020-01-15 16:00:00,34.3,74,7.86,13.31
2020-01-15 17:00:00,-5.55,96,11.37,19.45
2020-01-15 18:00:00,-3.71,91,3.26,5.67
2020-01-15 19:00:00,11.98,28,8.76,13.19
2020-01-15 20:00:00,25.36,76,5.39,9.5
2020-01-15 21:00:00,-1.03,68,13.12,8.92
2020-01-15 22:00:00,31.96,24,14.42,15.47
2020-01-15 23:00:00,5.47,93,1.21,15.9
2020-01-16 00:00:00,-0.84,76,6.86,1.88
2020-01-16 01:00:00,0.42,96,8.73,6.7
2020-01-16 02:00:00,27.92,86,8.72,19.36
2020-01-16 03:00:00,-2.84,91,6.5,18.44
2020-01-16 04:00:00,6.59,51,14.65,7.31
2020-01-16 05:00:00,25.55,69,7.31,3.79
2020-01-16 06:00:00,14.73,82,0.55,3.89
